,false_negative_num,false_negative_refs,true_positive_num,true_positive_refs,false_positive_num,false_positive_refs
shalosh-regalim,2,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Pesachim.109a.5']",0,[],0,[]
kiddush-hachodesh,0,[],0,[],0,[]
laws-of-sukkot,1,['https://www.sefaria.org.il/Vayikra_Rabbah.30.5'],1,['https://www.sefaria.org.il/Yalkut_Shimoni_on_Nach.1071.6'],1,['https://www.sefaria.org.il/Mishnah_Megillah.4.2']
prohibitions-of-festival-days,0,[],2,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5']",13,"[""https://www.sefaria.org.il/Shulchan_Arukh,_Yoreh_De'ah.124.17"", 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Gray_Matter_IV,_Technology,_Closing_a_Website_for_Shabbat_and_Yom_Tov.23', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Pesachim.109a.5', 'https://www.sefaria.org.il/Abudarham,_Fasts,_Prayers.35', 'https://www.sefaria.org.il/Shem_MiShmuel,_Chayei_Sara.5.15']"
rishut-hayachid-rishut-harabim,0,[],0,[],0,[]
celebration-of-the-water-drawing,0,[],0,[],0,[]
passover-in-egypt,0,[],1,"['https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11']",8,"['https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10', 'https://www.sefaria.org.il/Pesachim.39a.1-15', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Exodus.6.6-7', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']"
kiddush-and-havdalah,0,[],1,"['https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18']",1,['https://www.sefaria.org.il/Book_of_Jubilees.2.33']
remembrance-of-the-exodus-from-egypt,0,[],3,"['https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Yalkut_Shimoni_on_Nach.1071.6', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']",14,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10', 'https://www.sefaria.org.il/Sotah.27b.11-12', 'https://www.sefaria.org.il/Numbers.11.18-20', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', ""https://www.sefaria.org.il/Al_Kapot_HaMan'ul;_Homilies_for_the_Days_of_Awe,_A_Reflection_into_the_Future.17"", 'https://www.sefaria.org.il/Exodus.6.6-7', 'https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Vayeshev,_Miketz,_Vayigash,_Torah_Ohr.24']"
rest,0,[],2,"['https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1']",7,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Derekh_HaMelekh,_Torah,_Chayei_Sara.2.10', 'https://www.sefaria.org.il/Gray_Matter_IV,_Technology,_Closing_a_Website_for_Shabbat_and_Yom_Tov.23', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18', 'https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2', 'https://www.sefaria.org.il/Shem_MiShmuel,_Chayei_Sara.5.15']"
laws-of-passover,1,['https://www.sefaria.org.il/Pesachim.39a.1-15'],3,"['https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']",3,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42']"
tosefet-shabbat,0,[],0,[],6,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Gray_Matter_IV,_Technology,_Closing_a_Website_for_Shabbat_and_Yom_Tov.23', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Abudarham,_Fasts,_Prayers.35', 'https://www.sefaria.org.il/Shem_MiShmuel,_Chayei_Sara.5.15']"
remember-and-guard,0,[],2,"['https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1']",4,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']"
prohibitions-of-yom-kippur,0,[],0,[],1,"['https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110']"
bedikat-chametz-biur-chametz,0,[],0,[],0,[]
laws-of-worship-of-god,3,"[""https://www.sefaria.org.il/Shulchan_Arukh,_Yoreh_De'ah.124.17"", 'https://www.sefaria.org.il/Berakhot.6b.24', 'https://www.sefaria.org.il/Bach,_Even_HaEzer.6.10.1']",17,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Sefer_HaChinukh.214.3', 'https://www.sefaria.org.il/Chullin.125a.7', 'https://www.sefaria.org.il/II_Chronicles.2.2', 'https://www.sefaria.org.il/Chagigah.6a.15', 'https://www.sefaria.org.il/Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_Their_Jurisdiction.15.13', 'https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Horayot.6a.3', 'https://www.sefaria.org.il/Mishnah_Avodah_Zarah.1.8', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3', 'https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Tamid.27b.7', 'https://www.sefaria.org.il/Deuteronomy.18.14-15', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1', 'https://www.sefaria.org.il/Malbim_on_Exodus.4.1.2']",47,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/Mishnah_Kelim.4.1', 'https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Shemot_Rabbah.28.2', 'https://www.sefaria.org.il/II_Samuel.22.1', 'https://www.sefaria.org.il/Mishnah_Terumot.5.9', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110', 'https://www.sefaria.org.il/Mesilat_Yesharim.5.25', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Rashi_on_Deuteronomy.22.5.1-3', 'https://www.sefaria.org.il/Taanit.29a.1-17', 'https://www.sefaria.org.il/Nazir.36a.3', 'https://www.sefaria.org.il/Mishnah_Kelim.1.4', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_3_The_Holy_Land.13.8', 'https://www.sefaria.org.il/Sanhedrin.93b.10', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1', 'https://www.sefaria.org.il/Mishnah_Bava_Metzia.5.5', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Sifrei_Devarim.13.6', 'https://www.sefaria.org.il/Siddur_Ashkenaz,_Weekday,_Shacharit,_Amidah,_Knowledge.1', 'https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1', 'https://www.sefaria.org.il/Avodat_HaKodesh_(Gabbai).2.21.14', 'https://www.sefaria.org.il/Midrash_Tehillim.104.1', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Deuteronomy.3.15', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Sefer_HaIkkarim,_Maamar_4.35.2', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1"", 'https://www.sefaria.org.il/Tosefta_Bava_Metzia_(Lieberman).10.8', 'https://www.sefaria.org.il/Pesachim.109a.5', 'https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2', 'https://www.sefaria.org.il/Isaiah.58.1-2', 'https://www.sefaria.org.il/Mesilat_Yesharim.18.9', 'https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4', 'https://www.sefaria.org.il/Genesis.42.19', 'https://www.sefaria.org.il/Mishnah_Parah.4.2', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']"
definition-and-prohibition-of-idolatry,1,"['https://www.sefaria.org.il/Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_Their_Jurisdiction.15.13']",3,"['https://www.sefaria.org.il/Sefer_HaChinukh.214.3', 'https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Horayot.6a.3']",2,"['https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Mishnah_Avodah_Zarah.1.8']"
laws-of-objects-of-foreign-worship,1,['https://www.sefaria.org.il/Leviticus.20.23'],2,"['https://www.sefaria.org.il/Sefer_HaChinukh.214.3', 'https://www.sefaria.org.il/Mishnah_Avodah_Zarah.1.8']",2,"['https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Horayot.6a.3']"
laws-of-dissociation-from-idolatry-and-its-worshippers,2,"[""https://www.sefaria.org.il/Shulchan_Arukh,_Yoreh_De'ah.124.17"", 'https://www.sefaria.org.il/Leviticus.20.23']",3,"['https://www.sefaria.org.il/Sefer_HaChinukh.214.3', 'https://www.sefaria.org.il/Mishnah_Avodah_Zarah.1.8', 'https://www.sefaria.org.il/Deuteronomy.18.14-15']",2,"['https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Avodat_HaKodesh_(Gabbai).2.21.14']"
gentile-practices-of-the-body-and-clothing,1,['https://www.sefaria.org.il/Leviticus.20.23'],0,[],1,['https://www.sefaria.org.il/Rashi_on_Deuteronomy.22.5.1-3']
laws-of-the-shekel-coin-contribution,0,[],0,[],0,[]
laws-of-gifts-to-the-priesthood,0,[],0,[],2,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
additional-gifts-to-the-priesthood,0,[],0,[],2,"['https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-temple-workers,0,[],0,[],0,[]
laws-of-building-the-temple-and-its-furnishings,0,[],0,[],6,"['https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/II_Chronicles.2.2', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]"
the-temple-building,0,[],0,[],11,"['https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Taanit.29a.1-17', 'https://www.sefaria.org.il/II_Chronicles.2.2', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Tamid.27b.7', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-the-sanctity-of-the-temple,0,[],0,[],11,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_3_The_Holy_Land.13.8', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-priestly-garments,0,[],1,['https://www.sefaria.org.il/Tamid.27b.7'],0,[]
conditions-that-forbid-one-from-entering-the-temple-and-serving-in-it,1,['https://www.sefaria.org.il/Leviticus.10.8-10'],0,[],1,['https://www.sefaria.org.il/Mishnah_Parah.4.2']
laws-of-those-disqualified-from-service,1,['https://www.sefaria.org.il/Berakhot.6b.24'],0,[],0,[]
laws-of-animal-sacrifices,3,"['https://www.sefaria.org.il/Chullin.125a.7', 'https://www.sefaria.org.il/Chagigah.6a.15', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1']",1,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32']",2,"['https://www.sefaria.org.il/Mishnah_Menachot.2.3', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
forbidden-incineration,0,[],0,[],1,['https://www.sefaria.org.il/Leviticus.20.23']
laws-of-vegetal-offerings,0,[],3,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3']",1,['https://www.sefaria.org.il/Mishnah_Parah.4.2']
choosing-sacrifices,0,[],0,[],0,[]
laws-of-sacrifice-obligations,3,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1']",1,['https://www.sefaria.org.il/Mishnah_Menachot.2.3'],1,['https://www.sefaria.org.il/Horayot.6a.3']
laws-of-sacrificing-outside-the-temple,0,[],0,[],6,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Pesachim.109a.5', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-regular-and-additional-shabbat-sacrifices,0,[],0,[],8,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-additional-holiday-sacrifices,0,[],1,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32']",3,"['https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-animal-sacrifice-disqualifications,0,[],2,"['https://www.sefaria.org.il/Chullin.125a.7', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3']",2,"['https://www.sefaria.org.il/Sanhedrin.93b.10', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-fowl-sacrifice-disqualifications,0,[],0,[],1,['https://www.sefaria.org.il/Mishnah_Parah.4.2']
laws-of-meal-offering-disqualifications,1,['https://www.sefaria.org.il/Mishnah_Menachot.2.3'],0,[],2,"['https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-disqualifications-of-thought,2,"['https://www.sefaria.org.il/Chullin.125a.7', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3']",0,[],0,[]
laws-of-disqualified-sanctified-items,1,['https://www.sefaria.org.il/Chullin.125a.7'],0,[],3,"['https://www.sefaria.org.il/Mishnah_Kelim.4.1', 'https://www.sefaria.org.il/Nazir.36a.3', 'https://www.sefaria.org.il/Sefer_HaIkkarim,_Maamar_4.35.2']"
laws-of-the-yom-kippur-service,0,[],0,[],4,"['https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4']"
laws-of-misappropriation-of-items-sanctified-for-the-altar,0,[],0,[],2,"['https://www.sefaria.org.il/Nazir.36a.3', 'https://www.sefaria.org.il/Tosefta_Bava_Metzia_(Lieberman).10.8']"
laws-of-misappropriation-of-items-sanctified-for-temple-maintenance,0,[],0,[],0,[]
laws-of-the-sacrifice-of-the-paschal-offering,0,[],1,"['https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11']",5,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Mishnah_Parah.4.2', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']"
laws-of-eating-the-paschal-offering,0,[],0,[],1,"['https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11']"
laws-of-the-festival-offering,0,[],1,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32']",3,"['https://www.sefaria.org.il/Horayot.6a.3', 'https://www.sefaria.org.il/Pesachim.109a.5', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-animal-firstlings,0,[],0,[],0,[]
laws-of-the-animal-tithe,0,[],0,[],1,['https://www.sefaria.org.il/Mishnah_Bava_Metzia.5.5']
laws-of-the-fixed-sin-offering,0,[],1,['https://www.sefaria.org.il/Horayot.6a.3'],2,"['https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-the-guilt-offering,0,[],0,[],0,[]
laws-of-the-variable-offerings,0,[],0,[],1,['https://www.sefaria.org.il/Mishnah_Menachot.2.3']
laws-of-the-offerings-for-errors-of-the-court-or-the-anointed-priest-and-sin-offerings-of-the-leader,0,[],1,['https://www.sefaria.org.il/Horayot.6a.3'],4,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Sifrei_Devarim.13.6', 'https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
laws-of-the-offerings-of-the-zava-and-the-woman-that-gave-birth,0,[],0,[],1,['https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1']
laws-of-the-offerings-of-the-zav,0,[],0,[],0,[]
laws-of-the-offerings-of-the-metsora,0,[],0,[],1,['https://www.sefaria.org.il/Mishnah_Kelim.1.4']
laws-of-substitution-of-offerings,0,[],0,[],0,[]
hilchot-pesach-sheni,0,[],0,[],0,[]
korban-pesach,0,[],1,"['https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11']",1,"['https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42']"
high-priests,0,[],0,[],3,"['https://www.sefaria.org.il/Sifrei_Devarim.13.6', 'https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
machatzit-hashekel,0,[],0,[],0,[]
aron-habrit,0,[],0,[],2,"['https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
service-of-the-levites,0,[],0,[],0,[]
the-priestly-service,0,[],0,[],2,"['https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
lighting-of-the-menorah,0,[],0,[],2,"['https://www.sefaria.org.il/Devarim_Rabbah.3.1', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]"
gifts-to-the-priests,0,[],0,[],0,[]
sacrifices-of-the-eighth-day,0,[],0,[],0,[]
substitutions-of-sacrifices,0,[],0,[],3,"['https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
priests-and-the-division-and-possession-of-the-land,0,[],0,[],1,['https://www.sefaria.org.il/Deuteronomy.3.15']
pigul,0,[],2,"['https://www.sefaria.org.il/Chullin.125a.7', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3']",0,[]
entering-the-temple,0,[],1,['https://www.sefaria.org.il/Leviticus.10.8-10'],0,[]
redemption-of-a-donkey,0,[],0,[],0,[]
priests-drinking-wine,0,[],1,['https://www.sefaria.org.il/Leviticus.10.8-10'],0,[]
daughters-of-priests,0,[],0,[],0,[]
salting-of-the-sacrifices,0,[],0,[],3,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
wives-of-high-priests,0,[],0,[],0,[]
ir-hanidachat,0,[],0,[],1,"['https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7']"
sacrificial-rite,0,[],0,[],13,"['https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Chullin.125a.7', 'https://www.sefaria.org.il/Chagigah.6a.15', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1', 'https://www.sefaria.org.il/Mishnah_Menachot.2.3', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1', 'https://www.sefaria.org.il/Genesis.42.19', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
false-prophets,0,[],2,"['https://www.sefaria.org.il/Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_Their_Jurisdiction.15.13', 'https://www.sefaria.org.il/Malbim_on_Exodus.4.1.2']",1,['https://www.sefaria.org.il/Deuteronomy.18.14-15']
misappropriation,0,[],0,[],1,['https://www.sefaria.org.il/Mishnah_Terumot.5.9']
sprinkling-of-the-blood,0,[],0,[],1,['https://www.sefaria.org.il/Mishnah_Parah.4.2']
laws-of-foreign-worship,1,['https://www.sefaria.org.il/Horayot.6a.3'],2,"['https://www.sefaria.org.il/Sefer_HaChinukh.214.3', 'https://www.sefaria.org.il/Leviticus.20.23']",2,"['https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Mishnah_Avodah_Zarah.1.8']"
the-laver,0,[],0,[],0,[]
the-table,0,[],0,[],1,"['https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42']"
building-of-the-temple,0,[],1,['https://www.sefaria.org.il/II_Chronicles.2.2'],4,"['https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/II_Samuel.22.1', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184']"
